Feature,Number of datasets,Median auROC,Median log FC,Partition
GZMB,8,0.9528106995942078,3.732327609954784,1
JCHAIN,8,0.9481193159127432,2.5510954118642304,1
CXCR4,7,0.9491012875879719,2.2584167676360822,1
GPR183,7,0.9208494208494209,2.2088860088708544,1
ITM2C,6,0.9662869538061913,2.1652722792703534,1
CLIC3,6,0.9367926944586635,2.061398653069859,1
PLAC8,7,0.9198560127244569,2.0440603399728072,1
IRF7,8,0.9108804797972896,1.9477291266647208,1
IGKC,5,0.9039576771723837,1.8809805966738176,1
PLD4,5,0.9205454254638515,1.784941309113369,1
SOX4,4,0.9028579814242865,1.7613074679895773,1
C12orf75,8,0.9378501541401747,1.7557433620891518,1
HERPUD1,8,0.9125613164405574,1.744496059665516,1
CXCR3,7,0.8995948265037044,1.6496644697785705,1
TSPAN13,7,0.9043754776137524,1.6471856330395476,1
LILRA4,5,0.9142958871752119,1.639315089885544,1
SEC61B,8,0.9252512752813602,1.5988635730993814,1
PPP1R14B,6,0.9049527798687218,1.5537988045123887,1
MZB1,5,0.935703989366681,1.5286204758185977,1
IRF8,5,0.870292249539397,1.514597662990083,1
IRF4,5,0.8969678958603658,1.4574257450201913,1
UGCG,5,0.8716851249745987,1.4510481483799806,1
PLP2,3,0.9236888640079619,1.4291421987163102,1
DDIT4,5,0.8787133230086643,1.3642732130858704,1
TCF4,7,0.8730102282733861,1.36223633598418,1
IL3RA,3,0.8661595109073225,1.3308942769786911,1
SERPINF1,7,0.8703202779622765,1.2930324362623757,1
RPL3,7,0.955527185969612,1.2309761101041463,1
SPIB,3,0.8676518901006292,1.1839471637853756,1
SPCS1,3,0.885943744496376,1.1776165904088032,1
RNASET2,3,0.899975663178389,1.1513494447734407,1
RPS6,3,0.902120463772969,1.133222865968711,1
MAP1A,3,0.8704781873436047,1.1201680675665613,1
RPL6,6,0.8788243697434279,1.0947997862091634,1
RPL23A,6,0.913670813731148,1.0854074995667982,1
RPS23,3,0.910474237160437,1.0779185740639812,1
SELL,5,0.8272225555103236,1.0778720725098319,1
RPL18,3,0.865556067138253,1.069649623630256,1
RPL10A,6,0.8774679447315172,1.0654741725475616,1
RPS27,6,0.9288614168705007,1.0569484937319846,1
CYB561A3,3,0.8766123144317353,1.0513013365975523,1
RPS18,3,0.8787596832319361,1.038823989974889,1
RPS3A,8,0.8920388933590286,1.038378915193819,1
RPS4X,7,0.8878166126888444,1.0244204333128057,1
RPS7,4,0.8787643502431455,1.0055423401683585,1
RPS8,6,0.8825937482636814,0.9907021292141369,1
RPL13,4,0.8970510968394398,0.9807717205806288,1
RPS28,6,0.8637570166530985,0.9759704998714978,1
RPS3,3,0.9120860383233704,0.9666735015275263,1
RPLP0,5,0.8610504301293775,0.9609816307975438,1
RPS27A,4,0.8951562803673545,0.9323128213628591,1
RPS12,4,0.9147396649220156,0.9229600442633819,1
RPL13A,4,0.9086649896733088,0.8890270697598692,1
RPL19,3,0.8714620568414885,0.8533212930125513,1
RPL11,3,0.868544640241095,0.8409083994535069,1
STMN1,10,0.9163375157727788,1.9162149256737968,2
H2AFZ,10,0.9443068166243762,1.6640047478217534,2
HMGN2,9,0.8135513157957904,1.5546887130507059,2
