Gene,Program_Dataset
CTSK,1_Braga_2019_health
BIRC3,1_Braga_2019_health
SCGB3A1,1_Braga_2019_health
CD9,1_Braga_2019_health
SCGB1A1,1_Braga_2019_health
CD2,1_Braga_2019_health
SFTPA2,1_Braga_2019_health
CALD1,1_Braga_2019_health
PIM1,1_Braga_2019_health
HMGB2,1_Braga_2019_health
TCN2,1_Braga_2019_health
SUSD1,1_Braga_2019_health
CST3,1_Braga_2019_health
MFSD12,1_Braga_2019_health
TTN,1_Braga_2019_health
CAV1,1_Braga_2019_health
CKAP2,1_Braga_2019_health
CKLF,1_Braga_2019_health
DUSP10,1_Braga_2019_health
CLEC2D,1_Braga_2019_health
DBF4,1_Braga_2019_health
DYSF,1_Braga_2019_health
CLDN18,1_Braga_2019_health
CASP8AP2,1_Braga_2019_health
SNN,1_Braga_2019_health
DTNBP1,1_Braga_2019_health
ATP6AP1,1_Braga_2019_health
EZR,1_Braga_2019_health
NKG7,2_Braga_2019_health
LAD1,2_Braga_2019_health
HES1,2_Braga_2019_health
CD2,2_Braga_2019_health
COL6A2,2_Braga_2019_health
C10orf10,2_Braga_2019_health
SPARCL1,2_Braga_2019_health
SDPR,2_Braga_2019_health
ITLN1,2_Braga_2019_health
SPON2,2_Braga_2019_health
MS4A2,2_Braga_2019_health
KRT18,2_Braga_2019_health
PDPN,2_Braga_2019_health
PRF1,2_Braga_2019_health
ID1,2_Braga_2019_health
TRBC2,2_Braga_2019_health
SHROOM3,2_Braga_2019_health
F3,2_Braga_2019_health
DPP4,2_Braga_2019_health
TMEM97,2_Braga_2019_health
IL1RL1,2_Braga_2019_health
DHDH,2_Braga_2019_health
LAMB1,2_Braga_2019_health
AR,2_Braga_2019_health
CDH1,2_Braga_2019_health
BPIFB1,2_Braga_2019_health
SYNE2,2_Braga_2019_health
PPM1N,2_Braga_2019_health
ANKRD37,2_Braga_2019_health
DYX1C1,2_Braga_2019_health
STEAP4,2_Braga_2019_health
HACD1,2_Braga_2019_health
ADH1B,2_Braga_2019_health
DNAH17,2_Braga_2019_health
WNT5A,2_Braga_2019_health
PTRF,2_Braga_2019_health
OCIAD2,2_Braga_2019_health
FAM46C,2_Braga_2019_health
PIGR,2_Braga_2019_health
CHI3L2,2_Braga_2019_health
PRSS23,2_Braga_2019_health
APOD,2_Braga_2019_health
DHRS3,2_Braga_2019_health
SLIT3,2_Braga_2019_health
RTKN2,2_Braga_2019_health
WFDC2,2_Braga_2019_health
SPTBN1,2_Braga_2019_health
ADGRG1,2_Braga_2019_health
SPOCK2,2_Braga_2019_health
C19orf33,2_Braga_2019_health
CD96,2_Braga_2019_health
MTUS1,2_Braga_2019_health
KRT7,2_Braga_2019_health
FMO2,2_Braga_2019_health
PLAT,2_Braga_2019_health
RND1,2_Braga_2019_health
NPDC1,2_Braga_2019_health
CRNDE,2_Braga_2019_health
ELF5,2_Braga_2019_health
C8orf4,2_Braga_2019_health
SH3PXD2A,2_Braga_2019_health
SFTA2,2_Braga_2019_health
COL4A1,2_Braga_2019_health
MNS1,2_Braga_2019_health
ANK3,2_Braga_2019_health
KIF18A,2_Braga_2019_health
SH2D4A,2_Braga_2019_health
RASGRF1,2_Braga_2019_health
LOH12CR2,2_Braga_2019_health
DDR2,2_Braga_2019_health
FOXQ1,2_Braga_2019_health
FXYD3,2_Braga_2019_health
