Gene,CGP
ASGR1,1
ASGR2,1
BST1,1
C19orf38,1
CCR2,1
CD300E,1
CD36,1
CD93,1
CDA,1
CFP,1
CKAP4,1
CLEC4D,1
CLEC4E,1
CMTM2,1
CREB5,1
CRISPLD2,1
CSF3R,1
CYP1B1,1
DYSF,1
EHD1,1
ELANE,1
EREG,1
F5,1
FAM101B,1
FAM65B,1
FCN1,1
FOLR3,1
FPR1,1
HLX,1
ICAM3,1
IL1R2,1
KCNJ15,1
LILRA5,1
LIN7A,1
LINC00937,1
LMNB1,1
LRG1,1
LRRK2,1
LTB4R,1
MCTP2,1
METTL9,1
MNDA,1
MSRB1,1
NAIP,1
NFE2,1
NRGN,1
OSM,1
PADI4,1
PDE4D,1
PLCB1,1
PSTPIP1,1
PTX3,1
PXN,1
RBP7,1
RNASE2,1
S100A12,1
S100A8,1
S100A9,1
S100P,1
SELL,1
SERPINB2,1
SLC25A37,1
SLC2A3,1
STEAP4,1
THBS1,1
TMEM71,1
TNFAIP6,1
TUBA4A,1
VCAN,1
VNN2,1
ZNF467,1
ABCA1,10
ACE,10
ACP2,10
ACP5,10
ALDH1A1,10
ALK,10
ALOX15B,10
ANKRD29,10
APOC1,10
APOC2,10
APOE,10
ATP6V0D2,10
BIRC7,10
CCL18,10
CHCHD6,10
CHIT1,10
CTSD,10
CTSK,10
CTSL,10
CYP27A1,10
DEXI,10
DFNA5,10
FXYD6,10
GM2A,10
GPNMB,10
HAGHL,10
HAMP,10
HS3ST2,10
HSD17B14,10
HSD3B7,10
HTRA4,10
IFITM10,10
ITLN1,10
KCNJ5,10
KCNMA1,10
KLHDC8B,10
LGMN,10
LIPA,10
MFAP5,10
MMP2,10
NPL,10
NR1H3,10
NUPR1,10
OTOA,10
PKD2L1,10
PLA2G7,10
PLD3,10
PLPP3,10
RAB42,10
RARRES1,10
RBP1,10
RPS6KA2,10
RTN4R,10
SCARB1,10
SCD,10
SDS,10
SLC18B1,10
SLC26A11,10
SLC29A1,10
SLC29A3,10
SLC48A1,10
SMPDL3A,10
SPARC,10
SULT1C2,10
TCN2,10
TMEM255A,10
TMEM37,10
TREM2,10
TSPAN4,10
VAT1,10
ABCG1,11
ABCG2,11
ACO1,11
ACOT2,11
ACOT4,11
ADTRP,11
AGRP,11
AKR1C2,11
AKR1C3,11
ALG9,11
AMIGO2,11
AOC3,11
APOC1,11
AQP3,11
ARHGEF28,11
ATL1,11
ATP10A,11
BCAR1,11
CAMP,11
CCL18,11
CCL23,11
CES1,11
CHDH,11
CPE,11
DDO,11
DHDH,11
DNAJC5B,11
DTX4,11
FABP3,11
FABP4,11
FAM134B,11
FAM3B,11
FAM89A,11
FFAR4,11
GALNT12,11
GAPLINC,11
GCHFR,11
GLDN,11
GNG12,11
GPD1,11
GS1-600G8.5,11
HES2,11
HPGD,11
IFI27,11
IGFBP2,11
ITIH5,11
KLHDC8B,11
LGALS3BP,11
LIMS2,11
LPL,11
LSAMP,11
MLPH,11
MME,11
NEIL2,11
NMB,11
NUPR1,11
PCOLCE2,11
PHLDA3,11
PKD2L1,11
PLA2G16,11
PPIC,11
RBP4,11
RMDN3,11
RND3,11
RSPO3,11
S100A1,11
S100A13,11
SCCPDH,11
SCD,11
SEPT4,11
SERPING1,11
SLC47A1,11
SPOCD1,11
TEX14,11
TGM2,11
TPD52L1,11
USP30-AS1,11
WWTR1,11
ZDHHC19,11
ADAM19,12
AFF3,12
ANXA3,12
ATP8B4,12
CCND2,12
CCR6,12
CD1A,12
CD1B,12
CD1C,12
CD1E,12
CD2,12
CD207,12
CLDN1,12
CLECL1,12
ELAVL4,12
FAM109A,12
FCER1A,12
FCGBP,12
FHL2,12
FKBP11,12
FUT7,12
GHRL,12
GNAO1,12
GPAT3,12
GPR82,12
GTF2IRD1,12
HLA-DOB,12
HLA-DQB2,12
HPGDS,12
IL22RA2,12
KCNMB1,12
KIF21A,12
LTB,12
MCOLN2,12
MSI2,12
MYL9,12
MYO1D,12
NAALADL1,12
NDRG2,12
P2RY10,12
PALD1,12
PARM1,12
PKIB,12
PLEK2,12
PLPP1,12
PPM1N,12
PPP1R16A,12
PPP2R2B,12
PRKAR2B,12
RAB33A,12
RGS16,12
S100B,12
SCARF1,12
SCN9A,12
SEMA7A,12
SFTPD,12
SH2D4A,12
SLC38A1,12
SMPDL3B,12
SUCNR1,12
SUSD3,12
TACSTD2,12
TBC1D4,12
TCTN3,12
TESPA1,12
TLR10,12
TMEM156,12
TMEM8B,12
TNFAIP8L3,12
TOX,12
TRABD2A,12
TRPC6,12
TRPM4,12
AQP9,13
AREG,13
ARL5B,13
BCL2A1,13
CCL20,13
CCL3,13
CCL3L3,13
CCL4,13
CCL4L2,13
CCRL2,13
CXCL1,13
CXCL2,13
CXCL3,13
CXCL5,13
CXCL8,13
CYB5D1,13
DNAAF1,13
DUSP2,13
EDN1,13
EGR3,13
EHD1,13
EREG,13
F3,13
FFAR2,13
G0S2,13
GPR84,13
ICAM1,13
IER3,13
IL1A,13
IL1B,13
IL1RN,13
IL23A,13
IL6,13
IRAK2,13
KB-1507C5.4,13
LINC00346,13
LUCAT1,13
MFSD2A,13
MIR155HG,13
MIR3945HG,13
NBN,13
NFKB1,13
NFKBIA,13
NFKBIZ,13
NLRP3,13
OSM,13
PDE4B,13
PLAUR,13
PTGS2,13
PTX3,13
RHOH,13
SOD2,13
THAP2,13
TNF,13
TNFAIP3,13
TNFAIP6,13
TNIP3,13
ZC3H12A,13
ADORA2B,14
AGRP,14
ANPEP,14
BOLA3,14
CCL2,14
CCR5,14
CD180,14
CLEC5A,14
CRIP1,14
CRIP2,14
CST6,14
DPYSL3,14
EMP1,14
EMP3,14
FAM129B,14
FCRLB,14
FLNB,14
FN1,14
FPR3,14
HSD3B7,14
IGF2BP2,14
IL3RA,14
KCNN4,14
KIFC3,14
LHFPL2,14
LMNA,14
MAPK13,14
MT1F,14
MT1G,14
MT1X,14
MUC12,14
MYADM,14
NME1,14
NOP16,14
NT5DC2,14
PDLIM7,14
PHLDA1,14
RETN,14
RGS17,14
S100A10,14
S100A11,14
S100A6,14
SDF2L1,14
SPRED1,14
STEAP3,14
TMEM158,14
TNFRSF12A,14
TNS1,14
ADRB2,15
ARC,15
ATF3,15
BAG3,15
BTG2,15
CCL3,15
CCL3L3,15
CCL4,15
CCL4L2,15
CD69,15
CHORDC1,15
CITED2,15
DDIT3,15
DNAJA4,15
DNAJB1,15
DNAJB4,15
DUSP10,15
EGR1,15
EGR2,15
FAM46A,15
FAM71A,15
FOS,15
FOSB,15
HSPA1A,15
HSPA1B,15
HSPA1L,15
