score_name,jmp_class,jmp_subclass,jmp_type,usage,mnp
club_score,epithelial,airway_epithelial,club,1,0
ciliated_score,epithelial,airway_epithelial,ciliated,1,0
proximal_ciliated_score,epithelial,airway_epithelial,ciliated,1,0
basal_score,epithelial,airway_epithelial,basal,1,0
proximal_basal_score,epithelial,airway_epithelial,basal,1,0
differentiating_basal_score,epithelial,airway_epithelial,basal,1,0
proliferating_basal_score,epithelial,airway_epithelial,basal,1,0
goblet_score,epithelial,airway_epithelial,goblet,1,0
mucous_score,epithelial,airway_epithelial,mucous,1,0
serous_score,epithelial,airway_epithelial,serous,1,0
ionocyte_score,epithelial,airway_epithelial,ionocyte,1,0
neuroendocrine_score,epithelial,airway_epithelial,neuroendocrine,1,0
alveolar_epithelial_type_1_score,epithelial,alveoli_epithelial,at1,1,0
alveolar_epithelial_type_2_score,epithelial,alveoli_epithelial,at2,1,0
signaling_alveolar_epithelial_type_2_score,epithelial,alveoli_epithelial,at2,1,0
artery_score,endothelial,endothelial,artery,1,0
vein_score,endothelial,endothelial,vein,1,0
capillary_aerocyte_score,endothelial,endothelial,capillary,1,0
capillary_score,endothelial,endothelial,capillary,1,0
capillary_intermediate_1_score,endothelial,endothelial,capillary,1,0
capillary_intermediate_2_score,endothelial,endothelial,capillary,1,0
bronchial_vessel_1_score,endothelial,endothelial,bronchial_vessel,0,0
bronchial_vessel_2_score,endothelial,endothelial,bronchial_vessel,0,0
lymphatic_score,endothelial,endothelial,lymphatic,1,0
airway_smooth_muscle_score,stromal,stromal_muscle,airway_smooth_muscle,0,0
vascular_smooth_muscle_score,stromal,stromal_muscle,vascular_smooth_muscle,0,0
myofibroblast_score,stromal,stromal,myofibroblast,1,0
fibromyocyte_score,stromal,stromal,fibromyocyte,1,0
adventitial_fibroblast_score,stromal,stromal,fibroblast,1,0
alveolar_fibroblast_score,stromal,stromal,fibroblast,1,0
lipofibroblast_score,stromal,stromal,fibroblast,1,0
pericyte_score,stromal,stromal,pericyte,1,0
mesothelial_score,stromal,stromal,mesothelial,1,0
b_score,immune,lymphocyte,b,1,0
plasma_score,immune,lymphocyte,plasma,1,0
cd_8_memory_effector_t_score,immune,lymphocyte,cd8_t,1,0
cd_8_naive_t_score,immune,lymphocyte,cd8_t,1,0
cd_4_memory_effector_t_score,immune,lymphocyte,cd4_t,1,0
cd_4_naive_t_score,immune,lymphocyte,cd4_t,1,0
natural_killer_t_score,immune,lymphocyte,nk_t,1,0
natural_killer_score,immune,lymphocyte,nk,1,0
proliferating_nk_t_score,immune,lymphocyte,nk_t,1,0
basophil_mast_1_score,immune,myeloid,basophil_mast,1,0
basophil_mast_2_score,immune,myeloid,basophil_mast,1,0
platelet_megakaryocyte_score,immune,myeloid,megakaryocyte,0,0
macrophage_score,immune,myeloid,macrophage,1,1
proliferating_macrophage_score,immune,myeloid,macrophage,1,1
plasmacytoid_dendritic_score,immune,myeloid,dc,1,1
myeloid_dendritic_type_1_score,immune,myeloid,dc,1,1
myeloid_dendritic_type_2_score,immune,myeloid,dc,1,1
igsf_21_dendritic_score,immune,myeloid,dc,1,1
ereg_dendritic_score,immune,myeloid,dc,1,1
trem_2_dendritic_score,immune,myeloid,dc,1,1
classical_monocyte_score,immune,myeloid,monocyte,1,1
olr_1_classical_monocyte_score,immune,myeloid,monocyte,0,1
nonclassical_monocyte_score,immune,myeloid,monocyte,0,1
intermediate_monocyte_score,immune,myeloid,monocyte,0,1
